timestamp,jetson_vdd_cpu_gpu_cv_mw,jetson_gpu_usage_percent,jetson_board_temperature_celsius,jetson_vdd_in_mw,jetson_cpu_usage_percent,jetson_ram_usage_mb
2025-01-13 20:22:14,3988,0,39.662,4931,13.125,54910
2025-01-13 20:22:15,3988,0,39.5308,4931,12.875,54910
2025-01-13 20:22:16,3989,0,39.5994,4931,13.375,54910
2025-01-13 20:22:17,3988,0,39.5372,4931,13.5,54910
2025-01-13 20:22:18,3988,0,39.5746,4931,13.25,54910
2025-01-13 20:22:19,3988,0,39.7496,4931,13.375,54910
2025-01-13 20:22:20,3988,0,39.51219999999999,4931,13.125,54910
2025-01-13 20:22:21,3988,0,39.718,4931,12.875,54911
2025-01-13 20:22:22,3988,0,39.5184,4931,13.25,54911
2025-01-13 20:22:23,3988,0,39.5936,4931,13.25,54911
2025-01-13 20:22:24,3988,0,39.612,4931,13.0,54911
2025-01-13 20:22:25,3988,0,39.5308,4931,13.25,54911
2025-01-13 20:22:26,3988,0,39.656000000000006,4931,13.125,54911
2025-01-13 20:22:27,3988,0,39.518600000000006,4931,13.25,54911
2025-01-13 20:22:28,3988,0,39.5622,4931,13.625,54912
2025-01-13 20:22:29,3988,0,39.5432,4931,13.625,54913
2025-01-13 20:22:30,3988,0,39.6246,4931,12.625,54913
2025-01-13 20:22:31,3988,0,39.656,4931,13.25,54913
2025-01-13 20:22:32,3988,0,39.5434,4931,13.5,54913
2025-01-13 20:22:33,3988,0,39.506,4931,13.5,54913
2025-01-13 20:22:34,3988,0,39.581,4931,13.375,54914
2025-01-13 20:22:35,3988,0,39.6306,4931,13.625,54914
2025-01-13 20:22:36,3988,0,39.706,4931,12.875,54914
2025-01-13 20:22:37,3988,0,39.6122,4931,13.375,54912
2025-01-13 20:22:38,3988,0,39.5308,4931,13.0,54913
2025-01-13 20:22:39,3988,0,39.5496,5032,13.25,54913
2025-01-13 20:22:40,3988,0,39.6246,4931,13.375,54914
2025-01-13 20:22:41,3988,0,39.687,4931,13.0,54914
2025-01-13 20:22:42,3988,0,39.7496,4931,13.5,54914
2025-01-13 20:22:43,3988,0,39.6872,4931,13.5,54914
2025-01-13 20:22:44,3988,0,39.7496,4931,13.125,54914
2025-01-13 20:22:45,3988,0,39.7374,5032,13.5,54915
2025-01-13 20:22:46,3988,0,39.7558,4931,13.375,54915
2025-01-13 20:22:47,3989,0,39.7248,4931,13.5,54916
2025-01-13 20:22:48,4387,0,39.7996,5032,13.5,54926
2025-01-13 20:22:49,3988,0,39.7558,5032,13.0,54927
2025-01-13 20:22:50,3988,0,39.7812,5032,13.25,54927
2025-01-13 20:22:51,3988,0,39.8934,5032,13.75,54927
2025-01-13 20:22:52,3989,0,39.762,5032,13.375,54927
2025-01-13 20:22:53,3989,0,39.8058,5032,13.125,54928
2025-01-13 20:22:54,3988,0,39.7436,5032,13.75,54928
2025-01-13 20:22:55,3988,0,39.8372,5032,13.25,54927
2025-01-13 20:22:56,3988,0,39.8624,5032,13.25,54927
2025-01-13 20:22:57,3988,0,39.7184,5032,13.5,54927
2025-01-13 20:22:58,3988,0,39.7182,4830,13.375,55059
2025-01-13 20:22:59,3988,0,39.7684,4629,13.25,55264
2025-01-13 20:23:00,3988,0,39.6684,4629,13.0,55357
2025-01-13 20:23:01,4785,0,39.7184,4528,11.625,54618
2025-01-13 20:23:02,4387,0,39.549800000000005,4528,13.0,54766
2025-01-13 20:23:03,3988,0,39.6058,4327,13.75,54808
2025-01-13 20:23:04,3988,0,39.668600000000005,4327,13.25,54809
2025-01-13 20:23:05,3988,0,39.7562,4830,14.0,54904
2025-01-13 20:23:06,3988,0,39.7872,4931,12.875,54913
2025-01-13 20:23:07,3988,0,39.687,4931,13.125,54914
2025-01-13 20:23:08,3988,0,39.7436,5032,13.25,54913
2025-01-13 20:23:09,3988,0,39.812,5032,13.0,54914
2025-01-13 20:23:10,3988,0,39.7182,5032,13.125,54914
2025-01-13 20:23:11,3988,0,39.6748,5032,13.375,54914
2025-01-13 20:23:12,3988,0,39.7808,5032,13.375,54915
2025-01-13 20:23:13,3988,0,39.7932,5032,13.375,54914
2025-01-13 20:23:14,3988,0,39.7748,4931,13.0,54914
2025-01-13 20:23:15,3988,0,39.7308,5032,13.625,54914
2025-01-13 20:23:16,3988,0,39.6808,4931,13.0,54914
2025-01-13 20:23:17,3988,0,39.74980000000001,4931,13.375,54914
2025-01-13 20:23:18,3988,0,39.8248,4931,13.375,54914
2025-01-13 20:23:19,3988,0,39.7434,5032,13.25,54915
2025-01-13 20:23:20,3988,0,39.706,5032,13.0,54915
2025-01-13 20:23:21,3988,0,39.737,5032,13.5,54915
2025-01-13 20:23:22,3988,0,39.7684,4931,13.5,54916
2025-01-13 20:23:23,3988,0,39.8996,4931,13.0,54916
2025-01-13 20:23:24,3988,0,39.75600000000001,4931,13.25,54915
2025-01-13 20:23:25,3989,0,39.731,4931,13.5,54915
2025-01-13 20:23:26,3988,0,39.78099999999999,4931,13.25,54915
2025-01-13 20:23:27,3988,0,39.75600000000001,5032,13.125,54915
2025-01-13 20:23:28,3988,0,39.8496,4931,13.125,54915
2025-01-13 20:23:29,3989,0,39.7432,5032,13.5,54915
2025-01-13 20:23:30,3989,0,39.7558,4931,13.125,54916
2025-01-13 20:23:31,3989,0,39.8308,5032,13.25,54916
2025-01-13 20:23:32,3988,0,39.706,4931,13.375,54916
2025-01-13 20:23:33,3989,0,39.7122,4931,13.25,54917
2025-01-13 20:23:34,3989,0,39.7494,4931,13.5,54917
2025-01-13 20:23:35,3989,0,39.7436,4931,13.625,54918
2025-01-13 20:23:36,3989,0,39.8432,4931,13.125,54917
2025-01-13 20:23:37,3988,0,39.7558,5032,13.625,54918
2025-01-13 20:23:38,3988,0,39.7498,4931,13.5,54917
2025-01-13 20:23:39,3988,0,39.768600000000006,4931,13.0,54917
2025-01-13 20:23:40,3988,0,39.7934,5032,13.375,54917
2025-01-13 20:23:41,3988,0,39.862,5032,12.875,54917
2025-01-13 20:23:42,3988,0,39.6998,4931,13.125,54917
2025-01-13 20:23:43,3988,0,39.7496,4931,13.25,54917
2025-01-13 20:23:44,3988,0,39.7682,4931,13.375,54918
2025-01-13 20:23:45,3988,0,39.9996,5032,13.125,54928
2025-01-13 20:23:46,3988,0,39.75599999999999,5032,13.75,54929
2025-01-13 20:23:47,3988,0,39.7996,5032,13.125,54929
2025-01-13 20:23:48,3988,0,39.8058,5032,13.625,54929
2025-01-13 20:23:49,3988,0,39.8372,5032,12.875,54930
2025-01-13 20:23:50,3988,0,39.88719999999999,5032,13.25,54930
2025-01-13 20:23:51,3988,0,39.7558,5032,13.125,54930
2025-01-13 20:23:52,3988,0,39.831,5032,13.5,54931
2025-01-13 20:23:53,3988,0,39.7744,5032,13.25,54930
2025-01-13 20:23:54,3988,0,39.6998,5032,13.125,54931
2025-01-13 20:23:55,3988,0,39.76800000000001,4931,13.125,54999
2025-01-13 20:23:56,3988,0,39.6246,4629,13.375,55264
2025-01-13 20:23:57,3988,0,39.6682,4730,13.375,55326
2025-01-13 20:23:58,3589,0,39.7186,4428,9.75,54568
2025-01-13 20:23:59,3988,0,39.7684,4528,13.5,54720
2025-01-13 20:24:00,3589,0,39.7808,4327,13.25,54784
2025-01-13 20:24:01,4387,0,39.637,4327,16.0,54784
2025-01-13 20:24:02,3988,0,39.76220000000001,4730,13.5,54881
2025-01-13 20:24:03,3988,0,39.787400000000005,4931,13.375,54891
2025-01-13 20:24:04,3988,0,39.762,4931,13.25,54892
2025-01-13 20:24:05,3988,0,39.8432,5032,14.125,54892
2025-01-13 20:24:06,3988,0,39.7496,4931,12.75,54893
2025-01-13 20:24:07,3988,0,39.7434,4931,13.75,54893
2025-01-13 20:24:08,3988,0,39.7746,4931,13.5,54893
2025-01-13 20:24:09,3988,0,39.7186,4931,13.375,54893
2025-01-13 20:24:10,3988,0,39.7372,4931,13.875,54893
2025-01-13 20:24:11,3988,0,39.712,4931,13.375,54893
2025-01-13 20:24:12,3988,0,39.7372,4931,13.25,54894
2025-01-13 20:24:13,3988,0,39.8684,5032,13.375,54894
2025-01-13 20:24:14,3988,0,39.787,4931,13.25,54894
2025-01-13 20:24:15,3988,0,39.793600000000005,5032,13.375,54894
2025-01-13 20:24:16,3988,0,39.8058,5032,13.25,54894
2025-01-13 20:24:17,3988,0,39.8558,5032,13.25,54894
2025-01-13 20:24:18,3988,0,39.918600000000005,5032,13.125,54895
2025-01-13 20:24:19,3988,0,39.74340000000001,5032,13.375,54895
2025-01-13 20:24:20,3988,0,39.787,5032,13.375,54896
2025-01-13 20:24:21,3988,0,39.8184,5032,12.875,54896
2025-01-13 20:24:22,3988,0,39.8624,5032,13.625,54897
2025-01-13 20:24:23,3988,0,39.8624,5032,13.625,54897
2025-01-13 20:24:24,3988,0,39.806,5032,13.125,54898
2025-01-13 20:24:25,3988,0,39.706,5032,13.125,54898
2025-01-13 20:24:26,3988,0,39.7684,5032,13.375,54899
2025-01-13 20:24:27,3988,0,39.799800000000005,5032,13.375,54899
2025-01-13 20:24:28,3988,0,39.8874,5032,13.25,54899
2025-01-13 20:24:29,3988,0,39.7244,5032,13.5,54900
2025-01-13 20:24:30,3988,0,39.906,5032,13.5,54900
2025-01-13 20:24:31,3988,0,39.75600000000001,5032,13.375,54900
2025-01-13 20:24:32,3988,0,39.8058,5032,13.375,54901
2025-01-13 20:24:33,3988,0,39.912400000000005,5032,13.375,54901
2025-01-13 20:24:34,3988,0,39.7496,5032,13.0,54902
2025-01-13 20:24:35,3988,0,39.8182,4931,13.5,54902
2025-01-13 20:24:36,3988,0,39.8122,5032,13.625,54903
2025-01-13 20:24:37,3988,0,39.799400000000006,5032,13.0,54905
2025-01-13 20:24:38,3988,0,39.8184,5032,12.875,54905
2025-01-13 20:24:39,3988,0,39.7496,5032,13.25,54905
