timestamp,jetson_emc_freq,jetson_gpu_freq,jetson_total_cpu_usage,jetson_ram_usage,jetson_temperature,jetson_swap_usage
10/23/2024 0:53,0,0,3.75,7641,39.687,0
10/23/2024 0:53,0,0,3.25,7652,39.906,0
10/23/2024 0:54,0,0,3.333333333,7651,39.843,0
10/23/2024 0:54,0,0,3.5,7647,39.812,0
10/23/2024 0:54,0,0,3.5,7649,39.812,0
10/23/2024 0:54,0,0,3.583333333,7623,39.781,0
10/23/2024 0:55,0,0,3.166666667,7608,39.75,0
10/23/2024 0:55,0,0,3.5,7622,39.812,0
10/23/2024 0:55,0,0,4.083333333,7621,40.062,0
10/23/2024 0:55,0,0,3.166666667,7627,39.75,0
10/23/2024 0:56,0,0,3.666666667,7629,39.875,0
10/23/2024 0:56,0,0,4.416666667,7620,40.093,0
10/23/2024 0:56,0,0,3.916666667,7625,39.75,0
10/23/2024 0:56,0,0,4,7621,40.125,0
10/23/2024 0:57,0,0,4,7620,39.656,0
10/23/2024 0:57,0,0,4.833333333,7623,40.062,0
10/23/2024 0:57,0,0,3.25,7618,40,0
10/23/2024 0:57,0,0,4.166666667,7621,39.937,0
10/23/2024 0:58,0,0,4.25,7630,39.718,0
10/23/2024 0:58,0,0,4.166666667,7619,39.812,0
10/23/2024 0:58,0,0,3.583333333,7622,39.656,0
10/23/2024 0:58,0,0,4.083333333,7619,39.656,0
10/23/2024 0:59,0,0,3.75,7623,39.718,0
10/23/2024 0:59,0,0,4.25,7628,39.718,0
10/23/2024 0:59,0,0,3.333333333,7615,39.687,0
10/23/2024 0:59,0,0,3.916666667,7623,39.75,0
10/23/2024 1:00,0,0,4,7628,40.187,0
10/23/2024 1:00,0,0,4.75,7658,39.75,0
10/23/2024 1:00,0,0,3.666666667,7653,39.875,0
10/23/2024 1:00,0,0,3.916666667,7656,39.875,0
10/23/2024 1:01,0,0,3.583333333,7653,39.812,0
10/23/2024 1:01,0,0,4.333333333,7658,39.843,0
10/23/2024 1:01,0,0,3.25,7653,39.875,0
10/23/2024 1:01,0,0,3.333333333,7648,39.625,0
10/23/2024 1:02,0,0,3.75,7662,39.812,0
10/23/2024 1:02,0,0,4.666666667,7654,39.687,0
10/23/2024 1:02,0,0,3.666666667,7658,40.031,0
10/23/2024 1:02,0,0,4.083333333,7625,39.718,0
10/23/2024 1:03,0,0,3.75,7630,39.812,0
10/23/2024 1:03,0,0,4.583333333,7631,40.031,0
10/23/2024 1:03,0,0,3.583333333,7628,39.843,0
10/23/2024 1:03,0,0,3.666666667,7631,39.906,0
10/23/2024 1:04,0,0,3.583333333,7634,39.718,0
10/23/2024 1:04,0,0,3.833333333,7635,39.781,0
10/23/2024 1:04,0,0,3.25,7638,39.75,0
10/23/2024 1:04,0,0,4.25,7637,39.656,0
10/23/2024 1:05,0,0,3.416666667,7635,39.937,0
10/23/2024 1:05,0,0,3.916666667,7633,39.875,0
10/23/2024 1:05,0,0,3.583333333,7651,39.687,0
10/23/2024 1:05,0,0,3.25,7654,39.937,0
10/23/2024 1:06,0,0,4,7653,39.718,0
10/23/2024 1:06,0,0,4.333333333,7658,39.843,0
10/23/2024 1:06,0,0,3.583333333,7653,39.937,0
10/23/2024 1:06,0,0,4.333333333,7662,39.843,0
10/23/2024 1:07,0,0,3.916666667,7658,39.937,0
10/23/2024 1:07,0,0,4.166666667,7660,39.718,0
10/23/2024 1:07,0,0,3.833333333,7662,40,0
10/23/2024 1:07,0,0,3.833333333,7672,39.781,0
10/23/2024 1:08,0,0,3.833333333,7661,39.906,0
10/23/2024 1:08,0,0,4.583333333,7671,39.843,0
10/23/2024 1:08,0,0,3.416666667,7688,39.812,0
10/23/2024 1:08,0,0,4.583333333,7669,39.593,0
10/23/2024 1:09,0,0,3.583333333,7660,39.812,0
10/23/2024 1:09,0,0,3.833333333,7664,40.062,0
10/23/2024 1:09,0,0,3.916666667,7666,39.812,0
10/23/2024 1:09,0,0,3.416666667,7672,40,0
10/23/2024 1:10,0,0,3.416666667,7667,39.843,0
10/23/2024 1:10,0,0,4.333333333,7669,39.75,0
10/23/2024 1:10,0,0,3.833333333,7675,39.718,0
10/23/2024 1:10,0,0,4.25,7669,39.906,0
10/23/2024 1:11,0,0,3.333333333,7654,39.656,0
10/23/2024 1:11,0,0,3.833333333,7652,39.906,0
10/23/2024 1:11,0,0,4,7657,39.656,0
10/23/2024 1:11,0,0,3.833333333,7654,40.031,0
10/23/2024 1:12,0,0,3.916666667,7656,39.656,0
10/23/2024 1:12,0,0,4,7661,39.937,0
10/23/2024 1:12,0,0,3.5,7657,39.781,0
10/23/2024 1:12,0,0,4.166666667,7654,39.687,0
10/23/2024 1:13,0,0,4,7652,39.812,0
10/23/2024 1:13,0,0,3.916666667,7654,39.656,0
10/23/2024 1:13,0,0,3.5,7643,39.843,0
10/23/2024 1:13,0,0,4.166666667,7647,39.593,0
10/23/2024 1:14,0,0,3.75,7653,39.781,0
10/23/2024 1:14,0,0,4.416666667,7656,39.906,0
10/23/2024 1:14,0,0,3.083333333,7642,39.656,0
10/23/2024 1:14,0,0,3.833333333,7660,39.843,0
10/23/2024 1:15,0,0,3.833333333,7646,40.031,0
10/23/2024 1:15,0,0,3.833333333,7638,39.781,0
10/23/2024 1:15,0,0,3.083333333,7643,39.781,0
10/23/2024 1:15,0,0,3.666666667,7644,39.781,0
10/23/2024 1:16,0,0,2.916666667,7642,39.937,0
10/23/2024 1:16,0,0,4.5,7643,39.75,0
10/23/2024 1:16,0,0,3.75,7644,39.75,0
10/23/2024 1:16,0,0,3.083333333,7644,39.875,0
10/23/2024 1:17,0,0,3.916666667,7638,39.718,0
10/23/2024 1:17,0,0,4,7641,39.781,0
10/23/2024 1:17,0,0,3.75,7639,39.812,0
10/23/2024 1:17,0,0,3.416666667,7644,39.781,0
10/23/2024 1:18,0,0,3.916666667,7638,39.812,0
10/23/2024 1:18,0,0,3.25,7640,39.968,0
10/23/2024 1:18,0,0,3.666666667,7660,39.968,0
10/23/2024 1:18,0,0,3.25,7659,39.75,0
10/23/2024 1:19,0,0,4.416666667,7663,39.843,0
10/23/2024 1:19,0,0,3.75,7654,39.875,0
10/23/2024 1:19,0,0,2.916666667,7651,39.75,0
10/23/2024 1:19,0,0,3.75,7651,39.843,0
10/23/2024 1:20,0,0,3.5,7649,39.843,0
10/23/2024 1:20,0,0,3.833333333,7661,39.781,0
10/23/2024 1:20,0,0,3.583333333,7649,39.718,0
10/23/2024 1:20,0,0,3.833333333,7664,39.843,0
10/23/2024 1:21,0,0,3.416666667,7643,40,0
10/23/2024 1:21,0,0,3.916666667,7644,39.843,0
